title,en,da_s,da_t,de_s,de_t,pt_s,pt_t
EXTENSION_NAME,Consent-O-Matic,Consent-O-Matic,Consent-O-Matic,Consent-O-Matic,Consent-O-Matic,Consent-O-Matic,Consent-O-Matic
EXTENSION_SUBTITLE,Your Choice - Applied Everywhere,Dit valg - Anvendt overalt,Your choice - Used everywhere,Ihre Wahl - Überall angewendet,Your Choice - Applied Everywhere,Sua Escolha - Aplicadada em todos os lugares,Your Choice - Applied Everywhere
YOUR_CHOICE,Your Choice,Dit valg,Your choice,Ihre Wahl,your choice,Sua Escolha,Your choice
RULE_LIST,Rule Lists,Regler,Rules,Regellisten,rule lists,Lista de Regras,List of Rules
ABOUT,About,Info,Info,Information,Information,Sobre,About
DEBUG,Dev,Dev,Dev,Dev,Dev,Dev,Dev
HIDE_OR_PIP_DESCRIPTION,"Select between the two modes, 'Hide' or 'Picture in Picture'","Vælg mellem de to tilstande, 'Skjul' eller 'Billede i billede'","Choose between the two modes, 'Hide' or 'Picture in Picture'",Wählen Sie zwischen den beiden Modi „Ausblenden“ oder „Bild im Bild“,"Choose between the two modes ""fade out"" or ""picture in picture""","Selecione entre os dois modos, 'Ocultar' ou 'Picture in Picture'","Select between the two modes, 'Hide' or 'Picture in Picture'"
HIDE_OR_PIP_HIDE_LABEL,'Hide' completely hides the CMP while answering it.,"'Skjul' skjuler CMP'en fuldstændigt, mens den besvares.",'Hide' hides the CMP completely while it is answered.,"„Ausblenden“ verbirgt das CMP vollständig, während es beantwortet wird.","""Hide"" completely hides the CMP while answering it.",'Ocultar' oculta completamente o CMP ao respondê-lo.,'Hide' completely hides the CMP when responding to it.
HIDE_OR_PIP_PIP_LABEL,'Picture in Picture' shows the CMP being answered in a small overlay.,"'Billede i billede' viser CMP'en, der besvares i en lille overlejring.",'Picture in Picture' shows the CMP being answered in a small overlay.,'Picture in Picture' mostra o CMP sendo respondido em uma pequena sobreposição.,'Picture in Picture' shows the CMP being responded to in a small overlay.,"„Bild im Bild“ zeigt in einem kleinen Overlay, dass die CMP beantwortet wird.","""Picture in picture"" shows in a small overlay that the CMP is being answered."
SETTINGS,Settings,Indstillinger,Settings,Einstellungen,settings,Definições,Definitions
SETTINGS_DESCRIPTION,Configure general settings,Konfigurer generelle indstillinger,Configure general settings,Allgemeine Einstellungen konfigurieren,Configure general settings,Definir configurações gerais,Configure general settings
CHOICE_DESCRIPTION,Configure what categories of tracking you would like to allow. Consent-O-Matic then fills out consent popups as best as possible based on your preferences. All tracking is rejected by default.,Konfigurer hvilke tracking-kategorier du gerne vil tillade. Så vil Consent-O-Matic udfylde samtykke-popups så godt den kan baseret på dine valg. Som standard bliver alt tracking afvist.,"Configure which tracking categories you would like to allow. Then Consent-O-Matic will populate consent popups as best it can based on your choices. By default, all tracking is rejected.","Legen Sie fest, welche Kategorien von Tracking Sie zulassen möchten. Consent-O-Matic füllt dann, basierend auf Ihren Voreinstellungen, die Zustimmungs-Popups so gut wie möglich aus. Standardmäßig wird jegliches Tracking abgelehnt.","Determine which categories of tracking you want to allow. Consent-O-Matic then fills in the consent pop-ups as best it can based on your preferences. By default, all tracking is rejected.",Configure quais categorias de rastreamento você gostaria de permitir. O Consent-O-Matic preenche os pop-ups de consentimento da melhor forma possível com base em suas preferências. Todos os rastreamentos são rejeitados por padrão.,Configure which tracking categories you would like to allow. Consent-O-Matic fills in the consent popups as best it can based on your preferences. All traces are rejected by default.
RULES_DESCRIPTION,Consent-O-Matic comes with a set of rules that tell it how to understand each kind of GDPR consent popup. You can add more sources of rules here - or even create your own list and share it with others!,Sammen med Consent-O-Matic følger et sæt af regler der beskriver hvordan hver enkelt slags GDPR-samtykke-popup skal behandles. Du kan tilføje flere regel-kilder her - eller oprette din egen liste og dele den med andre!,Along with Consent-O-Matic comes a set of rules that describe how each type of GDPR consent popup must be treated. You can add more rule sources here - or create your own list and share it with others!,"Consent-O-Matic wird mit einer Reihe von Regeln geliefert, die ihm sagen, wie es jede Art von GDPR-Einwilligungs-Popup verstehen soll. Sie können hier weitere Quellen für Regeln hinzufügen - oder sogar Ihre eigene Liste erstellen und sie mit anderen teilen!",Consent-O-Matic comes with a set of rules telling it how to understand any type of GDPR consent popup. You can add more sources for rules here - or even create your own list and share it with others!,O Consent-O-Matic vem com um conjunto de regras de como entender cada tipo de pop-up de consentimento do GDPR. Você pode adicionar mais regras aqui - ou até mesmo criar sua própria lista e compartilhá-la com outras pessoas!,Consent-O-Matic comes with a set of rules on how to understand each type of GDPR consent popup. You can add more rules here - or even create your own list and share it with others!
ADD_LIST,Add List,Tilføj liste,Add list,Liste hinzufügen,Add List,Adicionar Lista,Add List
RULES_UPDATE_DESCRIPTION,All the rule lists are updated automatically every 22-48 hours or you can,"Alle listerne med regler opdateres automatisk engang hver 22-48 time, eller du kan",All the lists of rules are automatically updated once every 22-48 hours or you can,Alle Regellisten werden automatisch alle 22-48 Stunden aktualisiert oder Sie können,All rules lists are automatically updated every 22-48 hours or you can,Todas as listas de regras são atualizadas automaticamente a cada 22-48 horas ou você pode,All rule lists are automatically updated every 22-48 hours or you can
UPDATE_RULES_NOW,Update Rules Now,Opdater regler nu,Update rules now,Die Regeln jetzt aktualisieren,Update the rules now,Atualizar Regras Agora,Update Rules Now
RULE_GENERATOR,Rule List Generator,Regel liste generator,Rule list generator,Regellistegenerator,Rule List Generator,Gerador de Lista de Regras,Rule List Generator
RULE_GENERATOR_DESCRIPTION,As an alternative to writing JSON rules by hand it is also possible to create rules using this drag-n-drop editor:,"Som alternativ til at skrive JSON-reglerne i hånden, er det også muligt at lave regler med denne drag-n-drop editor:","As an alternative to writing the JSON rules by hand, it is also possible to create rules with this drag-n-drop editor:","Statt JSON Regeln manuell zu schreiben, können Sie alternativ Regeln erstellen mihilfe des drag-n-drop  Editor:","Alternatively, instead of writing JSON rules manually, you can create rules using the drag-n-drop editor:","Como alternativa a escrever regras JSON manualmente, também é possível criá-las usando este editor de arrastar e soltar:","As an alternative to writing JSON rules manually, you can also create them using this drag-and-drop editor:"
OPEN_RULE_GENERATOR,Open Rule Editor,Redigér Regler,Edit Rules,Regeleditor öffnen,Open rule editor,Abrir Editor de Regras,Open Rule Editor
CLEAR,Clear,Ryd,Clean up,Löschen,Extinguish,Limpar,Clean
ABOUT_DESCRIPTION,Here you can see how many times a popup has been filled out and just how many clicks Consent-O-Matic has saved you.,"Her kan du se hvor mange gange der er blevet udfyldt en popup for dig, og hvor mange klik Consent-O-Matic har sparet dig.",Here you can see how many times a popup has been completed for you and how many clicks Consent-O-Matic has saved you.,Hier können Sie sehen wie häufig ein Popup ausgefüllt wurde und wie viele Klicks dank des Consent-O-Matic gespart wurden.,Here you can see how often a popup was filled out and how many clicks were saved thanks to the Consent-O-Matic.,Aqui você pode ver quantas vezes um pop-up foi preenchido e quantos cliques o Consent-O-Matic economizou para você.,Here you can see how many times a popup has been filled and how many clicks Consent-O-Matic has saved you.
CLICKS_SAVED,clicks saved,klik sparet,click saved,gesparte Klicks,saved clicks,cliques economizados,saved clicks
CLICK_DELAY_DESCRIPTION,Wait a short time between performing each action or mouse gesture,Vent en kort periode i mellem udførslen af hver handling eller muse gesture,Wait a short period of time between performing each action or mouse gesture,Eine kurze Zeit zwischen den einzelnen Aktionen oder Mausgesten warten,Wait a short time between each action or mouse gesture,Aguarde um pouco entre a execução de cada ação ou movimento do mouse,Wait a while between performing each mouse action or movement
SKIP_SUBMIT_DESCRIPTION,Perform actions normally but do not submit the consent,"Udfør handlinger normalt, men lad være med at indsende samtykket","Perform actions normally, but do not submit the consent","Aktionen normal ausführen, aber die Zustimmung nicht abgeben","Carry out actions normally, but do not give consent","Execute as ações normalmente, mas não envie o consentimento","Perform actions as normal, but do not send consent"
PAINT_MATCHERS_DESCRIPTION,Visual feedback while matching consent choices,Visuel feedback mens samtykkevalg matches,Visual feedback while consent choices are matched,Visuelles Feedback beim Abgleich von Einwilligungsentscheidungen,Visual feedback when reconciling consent decisions,Feedback visual ao combinar opções de consentimento,Visual feedback when combining consent options
DEBUG_CLICKS_DESCRIPTION,Debug clicks to the log,Debug klik til loggen,Debug click to the log,Debug Klicks im log,Debug clicks in log,Depurar cliques no log,Debug non-log clicks
ALWAYS_FORCE_UPDATE_DESCRIPTION,Always force a reload of the rules on each page load,Tving genlæsning af reglerne ved hver side hentning,Force rereading of the rules on every page fetch,Erzwingen ein Neuladen der Regeln bei jedem Laden einer Seite,Force a reload of the rules on every page load,Sempre force o recarregamento das regras em cada carregamento de página,Always force reload rules on every page load
SKIP_HIDE_DESCRIPTION,"Skips the HIDE_CMP method, to better see what's going on behind the scenes.","Spring HIDE_CMP metoden over, for bedre at se hvad der foregår bag kulisserne.",Skip the HIDE_CMP method to better see what's going on behind the scenes.,"Überspringt die HIDE_CMP-Methode, um besser sehen zu können, was hinter den Kulissen vor sich geht.",Skips the HIDE_CMP method to get a better look at what's going on behind the scenes.,"Ignora o método HIDE_CMP, para ver melhor o que está acontecendo nos bastidores.","Bypass the HIDE_CMP method, to better see what's going on behind the scenes."
EXTRA_DEBUG_DESCRIPTION,Enables extra debug logging,Aktiver ekstra debug logning,Enable additional debug logging,Aktiviert zusätzliche Debug-logging,Enables additional debug logging,Habilita log adicional de depuração,Enable additional debug logging
INFORMATION_NAME,Information Storage and Access,Opbevaring og adgang til information,Storage and access to information,Informationsspeicherung und -zugriff,Information Storage and Access,Armazenamento e Acesso à Informação,Storage and Access to Information
INFORMATION_DESCRIPTION,"Storage of information or access to information that is already stored on your device - such as advertising identifiers, device identifiers, cookies, and similar technologies.","Lagring af information eller adgang til information, der allerede er gemt på din enhed - såsom reklame-id'er, enhedsidentifikatorer, cookies og lignende teknologier.","Storing information or accessing information already stored on your device - such as advertising IDs, device identifiers, cookies and similar technologies.","Speicherung von Informationen oder Zugriff auf Informationen, die bereits auf Ihrem Gerät gespeichert sind - wie Werbekennungen, Gerätekennungen, Cookies und ähnliche Technologien.","Storing information or accessing information already stored on your device - such as advertising identifiers, device identifiers, cookies and similar technologies.","Armazenamento de informações ou acesso à informações que já estão armazenadas em seu dispositivo - como identificadores publicitários, identificadores de dispositivo, cookies e tecnologias semelhantes.","Storing information or accessing information that is already stored on your device - such as advertising identifiers, device identifiers, cookies and similar technologies."
PREFERENCES_NAME,Preferences and Functionality,Præferencer og funktionalitet,Preferences and functionality,Präferenzen und Funktionalitäten,Preferences and Functionalities,Preferências e Funcionalidade,Preferences and Functionality
PREFERENCES_DESCRIPTION,"Allow sites to remember choices you make (such as your user name, language or the region you are located in) and provide enhanced, more personal features. For instance, these cookies can be used to remember your login details, changes you have made to text size, fonts and other parts of web pages that you can customize. They may also be used to provide services you have asked for such as watching a video or commenting on a blog. The information in these cookies is not used to track your browsing activity on other websites.","Tillad websteder at huske valg, du laver (f.eks. dit brugernavn, sprog eller den region du er placeret i) og giver forbedrede, mere personlige funktioner. For eksempel kan disse cookies bruges til at huske dine loginoplysninger, ændringer, du har lavet til tekststørrelse, skrifttyper og andre dele af websider, som du kan tilpasse. De kan også bruges til at levere tjenester, du har bedt om, f.eks. at se en video eller kommentere på en blog. Oplysningerne i disse cookies bruges ikke til at spore din browsingaktivitet på andre hjemmesider.","Allow websites to remember choices you make (such as your username, language, or the region you're located in) and provide enhanced, more personalized features. For example, these cookies can be used to remember your login details, changes you have made to text size, fonts and other parts of web pages that you can customize. They may also be used to provide services you have requested, e.g. to watch a video or comment on a blog. The information in these cookies is not used to track your browsing activity on other websites.","Erlauben Sie es den Websites, sich an die von Ihnen getroffene Wahl zu erinnern (z. B. an Ihren Benutzernamen, Sprache oder die Region, in der Sie sich befinden) und verbesserte, persönlichere Funktionen bereitzustellen. Diese Cookies können zum Beispiel verwendet werden, um Ihre Anmeldedaten, Änderungen an der Textgröße und Schriftarten und anderen Teile der Webseiten, die Sie anpassen können, zu speichern. Sie können auch dazu verwendet werden, um Dienste, die Sie angefordert haben, bereitzustellen, wie z. B. das Ansehen eines Videos oder das Kommentieren in einem Blog. Die Informationen in diesen Cookies werden nicht dazu verwendet, um Ihre Surfaktivitäten auf anderen Websites zu verfolgen.","Allow websites to remember choices you make (such as your username, language, or the region you are in) and provide enhanced, more personal features. For example, these cookies can be used to remember your login details, changes to text size and fonts and other parts of web pages that you can customise. They can also be used to provide services you have requested, such as B. watching a video or commenting on a blog. The information in these cookies is not used to track your browsing activity on other websites.","Permita que os sites lembrem as escolhas que você faz (como seu nome de usuário, idioma ou região em que você está localizado) e forneçam recursos aprimorados e mais personalizados. Por exemplo, esses cookies podem ser usados para lembrar seus detalhes de login, alterações feitas no tamanho do texto, fontes e outros atributos de páginas da web que você pode personalizar. Eles também podem ser usados para fornecer serviços que você solicitou, como assistir a um vídeo ou comentar em um blog. As informações nesses cookies não são usadas para rastrear sua atividade de navegação em outros sites.","Allow websites to remember choices you make (such as your username, language, or the region you are located in) and provide enhanced, more personalized features. For example, these cookies may be used to remember your login details, changes made to text size, fonts and other attributes of web pages that you can customize. They can also be used to provide services you have requested, such as watching a video or commenting on a blog. The information in these cookies is not used to track your browsing activity on other websites."
PERFORMANCE_NAME,Performance and Analytics,Ydelse og analyse,Performance and analysis,Leistung und Analytik,performance and analytics,Desempenho e Analytics,Performance and Analytics
PERFORMANCE_DESCRIPTION,"The collection of information, and combination with previously collected information, to measure, understand, and report, on your usage of the services. This allows websites to count visits and traffic sources so they can measure and improve the performance of the site. It helps them know which pages are the most and least popular, see how visitors move around the site, and where visitors come from.","Indsamling af oplysninger og kombination med tidligere indsamlede oplysninger, til at måle, forstå og rapporterer på din brug af tjenesterne. Dette gør det muligt for websteder at tælle besøg og trafikkilder, så de kan måle og forbedre ydeevnen på webstedet. Det hjælper dem med at vide, hvilke sider der er mest og mindst populære, se hvordan besøgende bevæger sig rundt på webstedet, og hvor besøgende kommer fra.","Collection of information and combination with previously collected information to measure, understand and report on your use of the Services. This allows websites to count visits and traffic sources so they can measure and improve website performance. It helps them know which pages are most and least popular, see how visitors move around the site, and where visitors are coming from.","Die Sammlung von Informationen und die Kombination mit zuvor gesammelten Informationen, um Ihre Nutzung der Dienste zu messen, zu verstehen und darüber zu berichten. Auf diese Weise können Websites Besuche und Quellen zählen, damit sie die Leistung der Website messen und verbessern können. Auf diese Weise erfahren sie, welche Seiten am beliebtesten und am unbeliebtesten sind, wie sich die Besucher auf der Website bewegen und woher sie kommen.","Collecting information and combining it with previously collected information to measure, understand and report on your use of the Services. This allows websites to count visits and sources so they can measure and improve website performance. This lets them know which pages are the most popular and least popular, how visitors move around the site and where they are coming from.","Coleta de informações e combinação com informações coletadas anteriormente para medir, entender e relatar o seu uso dos serviços. Isso permite que os sites contem visitas e origens de tráfego para que possam medir e melhorar o desempenho do site. Isso os ajuda a saber quais páginas são as mais e menos populares, ver como os visitantes navegam pelo site e de onde vêm os visitantes.","Collection of information and combination with previously collected information to measure, understand and report on your use of the Services. This allows sites to count visits and traffic sources so they can measure and improve site performance. This helps them know which pages are the most and least popular, see how visitors navigate their site and where visitors are coming from."
CONTENT_NAME,"Content selection, delivery, and reporting","Indholdsvalg, levering og rapportering","Content selection, delivery and reporting","Auswahl, Bereitstellung und Berichterstattung von Inhalten","Content Selection, Delivery and Reporting","Seleção de conteúdo, entrega e relatórios","Content selection, delivery and reporting"
