title,en,da_s,da_t,de_s,de_t,pt_s,pt_t
DISPLAY_FILTER_HELP,Only trigger if the DOM node has 'display' set to not 'none',Match kun hvis DOM-noden har 'display' sat til noget andet end 'none',Match only if the DOM node has 'display' set to something other than 'none',"Wird nur ausgelöst, wenn der DOM-Knoten display nicht auf 'none' gesetzt ist.",Dispatched only if the DOM node display is not set to 'none'.,Acionar apenas se o nó DOM tiver 'exibir' definido como não 'nenhum',Trigger only if DOM node has 'display' set to not 'none'
CHILD_FILTER,ChildFilter,BarnFilter,ChildFilter,KindFilter,KindFilter,ChildFilter,ChildFilter
CHILD_FILTER_HELP,Only trigger if child matching this DOM node selector is found,"Match kun, hvis der findes et barn, der matcher denne DOM-nodevælger",Match only if there is a child that matches this DOM node selector,"Nur auslösen, wenn ein Kind gefunden wird, das diesem DOM-Knoten-Selektor entspricht",Fire only when a child matching this DOM node selector is found,Acionar apenas se o filho correspondente a este seletor de nó DOM for encontrado,Fire only if child corresponding to this DOM node selector is found
ACTIONS,actions,handlinger,actions,Aktionen,Actions,ações,actions
ACTIONS_HELP,Each of these actions will be performed in order,Hver af disse handlinger vil blive udført i rækkefølge,Each of these actions will be performed in sequence,Jede dieser Aktionen wird der Reihe nach durchgeführt,Each of these actions is performed in turn,Cada uma dessas ações será executada em ordem,Each of these actions will be performed in order
SELECTOR_HELP_LIST,CSS selector that points to a list of DOM nodes,"CSS-vælger, der peger på en liste over DOM-noder",CSS selector that points to a list of DOM nodes,"CSS-Selektor, der auf eine Liste von DOM-Knoten verweist",CSS selector pointing to a list of DOM nodes,Seletor CSS que aponta para uma lista de nós DOM,CSS selector that points to a list of DOM nodes
ACTION,action,handling,handling,Aktion,action,ação,action
ACTION_HELP,The action to perform for each of the targets found by the selector,"Den handling, der skal udføres for hvert af målene fundet af vælgeren",The action to take for each of the targets found by the selector,"Die Aktion, die für jedes der vom Selektor gefundenen Ziele durchgeführt werden soll",The action to take on each of the targets found by the selector,A ação a ser executada para cada um dos destinos encontrados pelo seletor,The action to take for each of the targets found by the selector
IF_TRUE_ACTION,trueAction,sandHandling,sandHandling,wahrAktion,trueaction,trueAction,trueAction
IF_TRUE_ACTION_HELP,The action to execute if true,"Handlingen, der skal udføres, hvis sand",The action to perform if true,"Die Aktion, die ausgeführt werden soll, wenn wahr",The action to take if true,A ação a ser executada se for verdadeira,The action to take if true
IF_FALSE_ACTION,falseAction,falskHandling,falseAction,falschAktion,wrong action,falseAction,falseAction
IF_FALSE_ACTION_HELP,The action to execute if false,"Handlingen, der skal udføres, hvis falsk",The action to perform if false,"Die Aktion, die ausgeführt werden soll, wenn falsch",The action to take if false,A ação a ser executada se for falsa,The action to take if false
SELECTOR_CLICK_HELP,CSS selector that points to the DOM node that should be clicked,"CSS-vælger, der peger på den DOM-node, der skal klikkes på",CSS selector that points to the DOM node to be clicked,"CSS-Selektor, der auf den DOM-Knoten zeigt, der angeklickt werden soll",CSS selector pointing to the DOM node to click on,Seletor CSS que aponta para o nó DOM que deve ser clicado,CSS selector that points to the DOM node that should be clicked
OPEN_IN_TAB,openInTab,åbenIFane,openIFab,öffnenInTab,openInTab,openInTab,openInTab
OPEN_IN_TAB_HELP,If what is clicked is a link then optionally check this box to open it in a new tab,"Hvis det, der klikkes på, er et link, så marker valgfrit dette felt for at åbne det i en ny fane","If what is being clicked is a link, optionally check this box to open it in a new tab","Wenn es sich bei dem angeklickten Element um einen Link handelt, können Sie dieses Kästchen ankreuzen, um ihn in einem neuen Tab zu öffnen.","If the item you clicked is a link, you can check this box to open it in a new tab.","Se o que for clicado for um link, você pode marcar opcionalmente esta caixa para abri-lo em uma nova aba","If what is clicked is a link, you can optionally check this box to open it in a new tab"
SELECTOR_HIDE_HELP,CSS selector that points to the DOM node that should be hidden,"CSS-vælger, der peger på den DOM-node, der skal skjules",CSS selector that points to the DOM node to hide,"CSS-Selektor, der auf den DOM-Knoten zeigt, der ausgeblendet werden soll",CSS selector pointing to the DOM node to be hidden,Seletor CSS que aponta para o nó DOM que deve ser ocultado,CSS selector that points to the DOM node that should be hidden
DOM_NODE_SELECTOR,DOM node selector,DOM-nodevælger,DOM node selector,DOM-Knoten Wähler,DOM node selector,Seletor de nó DOM,DOM node selector
TARGET_SLIDE_HELP,The target to perform a slide gesture on,Målet der skal udføres en slidebevægelse på,The target on which a sliding movement is to be performed,"Das Ziel, auf dem eine Schiebegeste ausgeführt werden soll",The target to perform a slide gesture on,O alvo para executar um gesto de deslizamento,The target to perform a swipe gesture
DRAG_TARGET,dragTarget,trækMål,moveTarget,DragZiel,DragZiel,dragTarget,dragTarget
DRAG_TARGET_HELP,"The DOM node to drag the slider to, x or y wise depending on axis.","DOM-noden, som slideren skal trækkes til, x eller y afhængigt af aksen.","The DOM node to drag the slider to, x or y depending on the axis.","Der DOM-Knoten, auf den der Schieberegler gezogen werden soll, je nach Achse in x- oder y-Richtung.","The DOM node to drag the slider to, depending on the axis in x or y direction.","O nó DOM para o qual arrastar o controle deslizante, x ou y, dependendo do eixo.","The DOM node to drag the slider to, x or y, depending on the axis."
AXIS,Axis,Akse,Axis,Achse,axis,Eixo,Axle
AXIS_HELP,Direction of the slide,Retningen for slidebevægelsen,The direction of the wear movement,Richtung des Schiebereglers,direction of the slider,Direção do deslizamento,slip direction
X,X,X,X,X,X,X,X
Y,Y,Y,Y,Y,Y,Y,Y
WAIT_FOR,waitFor,ventPå,wait on,WarteAuf,Wait for,waitFor,waitFor
WAIT_FOR_HELP,The thing to wait for,Det der skal ventes på,What has to be waited for,"Die Sache, worauf gewartet werden soll",The thing to wait for,A coisa a esperar,the thing to wait
RETRIES,retries,forsøg,attempt,Wiederholungen,repetitions,novas tentativas,retries
RETRIES_HELP,How many times to repeat the search,Hvor mange gange søgningen skal gentages,How many times the search must be repeated,Wie oft soll die Suche wiederholt wird,How often should the search be repeated,Quantas vezes se deve repetir a pesquisa,How many times to repeat the search
WAIT_TIME,waitTime,venteTid,waiting time,Wartezeit,waiting period,waitTime,waitTime
WAIT_TIME_HELP,How long to wait after each search,Hvor lang tid der skal gå efter hver søgning,How long should elapse after each search,Wie lange gewartet werden soll nach jeder Suche,How long to wait after each search,Quanto tempo esperar após cada pesquisa,How long to wait after each survey
NEGATED,negated,negeret,would deny,verneint,denied,negado,denied
NEGATED_HELP,"If enabled, waits until selected DOM node no longer exists","Hvis aktiveret, venter, indtil valgte DOM-node ikke længere eksisterer","If enabled, waits until selected DOM node no longer exists","Falls aktiviert, wird gewartet, bis der ausgewählte DOM-Knoten nicht mehr existiert.","If enabled, waits until the selected DOM node no longer exists.","Se ativado, espera até que o nó DOM selecionado não exista mais","If enabled, wait until the selected DOM node no longer exists"
ACTION_WAIT_TIME_HELP,The amount of time to wait before continuing with the next action.,"Den tid, der skal ventes, før der fortsættes med den næste handling.",The time to wait before continuing with the next action.,"Die Zeitspanne, die gewartet werden soll, bevor mit der nächsten Aktion fortgefahren wird.",The amount of time to wait before proceeding to the next action.,A quantidade de tempo a esperar antes de avançar para a próxima ação.,The amount of time to wait before moving on to the next action.
TYPE,type,type,type,Art,Art,tipo,type
TYPE_HELP,The type of consent that this block handles,Typen af samtykke denne block skal håndtere,The type of consent this block must handle,"Die Art der Zustimmung, die diese Blockierung verarbeitet ",The type of consent processing this block,O tipo de consentimento que este bloco trata,The type of consent this block handles
TYPE_A_OPTION,A - Preferences and Functionality,A - Præferencer og funktionalitet,A - Preferences and Functionality,A - Präferenzen und Funktionalität,A - Preferences and Functionality,A - Preferências e Funcionalidade,A - Preferences and Functionality
TYPE_B_OPTION,B - Performance and Analytics,B - Ydelse og analyse,B - Performance and analysis,B - Leistung und Analytik,B - Performance and Analytics,B - Desempenho e Análise,B - Performance and Analysis
TYPE_D_OPTION,D - Information Storage and Access,D - Opbevaring og adgang til information,D - Storage and access to information,D - Informationsspeicherung und -zugriff,D - Information storage and access,D - Armazenamento e Acesso à Informação,D - Storage and Access to Information
TYPE_E_OPTION,"E - Content selection, delivery, and reporting","E - Indholdsvalg, levering og rapportering","E - Content selection, delivery and reporting","E - Auswahl, Bereitstellung und Berichterstattung von Inhalten","E - Content Selection, Delivery and Reporting","E - Seleção de conteúdo, entrega e relatórios","E - Content selection, delivery and reporting"
TYPE_F_OPTION,"F - Ad selection, delivery, and reporting","F - Annoncevalg, levering og rapportering","F - Ad selection, delivery and reporting","F - Anzeigenauswahl, -zustellung  und -berichterstattung","F - Ad selection, delivery and reporting","F - Seleção, entrega e relatórios de anúncios","F - Ad selection, delivery and reporting"
TYPE_X_OPTION,X - Other Purposes,X - Andre formål,X - Other purposes,X - Andere Zwecke,X - Other purposes,X - Outras Finalidades,X - Other Purposes
CONSENT_MATCHER,matcher,matcher,matcher,Vergleicher,comparator,matcher,matcher
CONSENT_MATCHER_HELP,"If this matcher triggers a match, it means the consent is currently given","Hvis denne matcher udløser et match, betyder det at samtykket i øjeblikket er givet","If this match triggers a match, it means that consent is currently given","Wenn dieser Abgleich eine Übereinstimmung auslöst, bedeutet dies, dass die Zustimmung derzeit gegeben ist","If this match triggers a match, that means consent is currently in place","Se este 'matcher' acionar uma correspondência, significa que o consentimento foi dado no momento","If this 'matcher' triggers a match, it means consent has been given at the time"
TOGGLE_ACTION,toggleAction,tilFraHandling,toFromAction,UmschaltAktion,ShiftAction,toggleAction,toggleAction
TOGGLE_ACTION_HELP,Use this action if the consent is given with a toggle state,"Brug denne handling, hvis samtykket er givet med en til/fra-tilstand",Use this action if the consent is given with an on/off state,"Verwenden Sie diese Aktion, wenn die Zustimmung mit einem Umschaltzustand erteilt wird",Use this action when consent is granted with a toggle state,Use esta ação se o consentimento for dado com um estado de alternância,Use this action if consent is given with a toggle state
CONSENT_TRUE_ACTION_HELP,"Use this action to set consent to true, non toggle style","Brug denne handling til at indstille samtykke til sandt, ikke til/fra-tilstand","Use this action to set consent to true, not on/off mode","Verwenden Sie diese Aktion, um die Zustimmung auf wahr zu setzen, ohne Umschaltstil","Use this action to set consent to true, without toggle style","Use esta ação para definir o consentimento como verdadeiro, sem alternância de estilo","Use this action to set consent to true, no style toggle"
CONSENT_FALSE_ACTION_HELP,"Use this action to set consent to false, non toggle style","Brug denne handling til at indstille samtykke til falsk, ikke til/fra-tilstand","Use this action to set consent to false, not on/off state","Verwenden Sie diese Aktion, um die Zustimmung auf falsch zu setzen, ohne Umschaltstil","Use this action to set consent to false, with no toggle style","Use esta ação para definir o consentimento como falso, sem alternância de estilo","Use this action to set consent to false, no style toggle"
DEBUG_TRANSLATION_DESCRIPTION,"When translation is missing, dont default to english, but instead show debug token.","Brug ikke som standard engelsk, hvis en oversættelse mangler.",Do not default to English if a translation is missing.,"Wenn die Übersetzung fehlt, nicht standardmäßig Englisch, sondern Debug-Token anzeigen.","If translation is missing, do not default to English, but show debug tokens.","Quando não houver tradução, não use inglês como padrão, mas mostre o token de debugging.","When there is no translation, don't default to English, but show the debug token."
HIDE_CMP,HIDE_CMP,SKJUL_CMP,HIDE_CMP,AUSBLENDE_CMP,AUSBLENDE_CMP,HIDE_CMP,HIDE_CMP
OPEN_OPTIONS,OPEN_OPTIONS,ÅBEN_INDSTILLINGER,OPEN SETTINGS,ÖFFNE_EINSTELLUNGEN,OPEN_SETTINGS,OPEN_OPTIONS,OPEN_OPTIONS
DO_CONSENT,DO_CONSENT,UDFØR_SAMTYKKE,EXECUTE_CONSENT,AUSFÜHRE_ZUSTIMMUNG,EXECUTE_CONSENT,DO_CONSENT,DO_CONSENT
SAVE_CONSENT,SAVE_CONSENT,GEM_SAMTYKKE,SAVE CONSENT,SPEICHERE_ZUSTIMMUNG,SAVE_CONSENT,SAVE_CONSENT,SAVE_CONSENT
MY_CMP,myCmp,minCmp,minCmp,meinCmp,mensump,myCmp,myCmp
OPTIONS_TITLE,Consent-O-Matic Options,Consent-O-Matic indstillinger,Consent-O-Matic indstillinger,Consent-O-Matic Einstellungen,Consent-O-Matic settings,Opções do Consent-O-Matic,Consent-O-Matic Options
ARE_YOU_SURE,Are you sure?,Er du sikker?,Are you sure?,Sind Sie sicher?,Are you sure?,Tem certeza?,He is sure?
UNHANDLED_EXPLAINER,The site will be added to our list of sites to review,Siden bliver tilføjet til vores liste af sider der skal gennemgåes,The page will be added to our list of pages to review,Die Website wird in unsere Liste der zu überprüfenden Websites aufgenommen,The site will be added to our list of sites to review,O site é adicionado à nossa lista de sites para revisão,The site is added to our list of sites for review
CANCEL,Cancel,Afbryd,Disconnect,Abbrechen,Abort,Cancelar,Cancel
SEND,Submit,Indsend,Submit,Einsenden,submit,Enviar,Submit
THANKS,Thank you!,Mange tak!,Thank you!,Vielen Dank!,Thanks very much!,Obrigada!,Thanks!
NO-CONFIRM,Don't ask next time,Spørg ikke næste gang,Don't ask next time,Nächstes Mal nicht fragen,Don't ask next time,Não perguntar na próxima vez,don't ask next time
SKIP_SUBMIT_CONFIRMATION,Avoid having to confirm each time when sending reports about badly handled websites using the addon popup,Undgå at skulle bekræfte hver gang når der sendes rapport omkring dårligt håndterede websites via addon popuppen,Avoid having to confirm every time when a report about badly handled websites is sent via the addon popup,"Vermeiden Sie nicht mehr jedes Mal bestätigen zu müssen, wenn Sie Berichte über schlecht gehandhabte Websites über das Addon-Popup senden.",Avoid having to confirm every time you send reports about poorly handled websites via the addon popup anymore.,Evite ter que confirmar toda vez que enviar relatórios sobre sites mal administrados usando o pop-up do complemento,Avoid having to confirm every time you submit reports about mismanaged sites using the add-on popup
UTILITY,UTILITY,UTILITY,UTILITY,DIENSTPROGRAMM,UTILITY,UTILITY,UTILITY
CMP,Consent Management Provider,Samtykke-popup-udbyder,Consent Popup Provider,Einwilligungsverwaltungsanbieter,Consent Management Provider,Consent Management Provider,Consent Management Provider
POPUPS_FILLED,Popups Filled,Udfyldte Popups,Completed Popups,Popups gefüllt,Popups filled,Pop-ups preenchidos,Popups filled
CLICKS_MADE,Clicks Made,Antal Klik,Number of Clicks,Klicks gemacht,clicks made,Cliques Feitos,Clicks Made
HIDE_INSTEAD_OF_PIP_DESCRIPTION,Hide instead of using Picture In Picture,Skjul istedet for at bruge billed i billed,Hide instead of using picture in picture,Ausblenden statt Bild-in-Bild verwenden,Use fade instead of picture-in-picture,Ocultar em vez de usar Picture In Picture,Hide em instead of using Picture In Picture
IF_ALLOW_ALL_ACTION,IfAllowAllAction,IfAllowAllHandling,IfAllowAllHandling,IfAllowAllAktion,IfAllowAllAction,IfAllowAllAction,IfAllowAllAction
IF_ALLOW_NONE_ACTION,IfAllowNoneAction,IfAllowNoneHandling,IfAllowNoneHandling,IfAllowNoneAktion,IfAllowNoneAktion,IfAllowNoneAction,IfAllowNoneAction
DETECTOR_DESCRIPTION,Used to detect the presence of a CMP,Bruges til at detektere tilstedeværelsen af en CMP,Used to detect the presence of a CMP,"Wird verwendet, um das Vorhandensein eines CMP zu erkennen",Used to detect the presence of a CMP,Usado para detectar a presença de um CMP,Used to detect the presence of a CMP
CSS_MATCHER_DESCRIPTION,Matches if the css selector is found,"Matcher, hvis css-vælgeren er fundet",Matches if the css selector is found,"Stimmt überein, wenn der CSS-Selektor gefunden wird",Matches if the CSS selector is found,Corresponde se o seletor css for encontrado,Matches if css selector is found
CHECKBOX_MATCHER_DESCRIPTION,"Matches if the checkbox is found, and checked","Matcher, hvis afkrydsningsfeltet er fundet og markeret",Matches if the checkbox is found and selected,"Stimmt überein, wenn das Kontrollkästchen gefunden und aktiviert wird",Matches if the check box is found and checked,Corresponde se a caixa de seleção for encontrada e marcada,Matches if checkbox is found and checked
CLICK_ACTION_DESCRIPTION,Clicks the element found by the css selector,Klik på elementet fundet af css-vælgeren,Click on the element found by the css selector,Klickt auf das vom CSS-Selektor gefundene Element,Clicks on the element found by the CSS selector,Clica no elemento encontrado pelo seletor css,Click on element found by css selector
MULTICLICK_ACTION_DESCRIPTION,Clicks all elements found by the css selector at once,Klik på alle elementerne fundet af css-vælgeren på én gang,Click all the elements found by the css selector at once,Klickt alle vom CSS-Selektor gefundenen Elemente auf einmal an,Clicks all elements found by the CSS selector at once,,
CONSENT_ACTION_DESCRIPTION,Handles consent based on users choice,Håndterer samtykke baseret på brugernes valg,Handles consent based on users' choices,Verarbeitet die Zustimmung basierend auf der Wahl des Benutzers,Processes the consent based on the user's choice,Lida com o consentimento com base na escolha dos usuários,Handles consent based on users choice
LIST_ACTION_DESCRIPTION,Allows multiple actions to be run after each other,"Tillader, at flere handlinger køres efter hinanden",Allows multiple actions to run consecutively,Ermöglicht die Ausführung mehrerer Aktionen nacheinander,Allows multiple actions to be performed one after the other,Permite que várias ações sejam executadas uma após a outra,Allows multiple actions to be performed one after the other
WAIT_CSS_ACTION_DESCRIPTION,Waits until a css selector is found,Venter indtil en css-vælger er fundet,Waits until a css selector is found,"Wartet, bis ein CSS-Selektor gefunden wird",Waits for a CSS selector to be found,Aguarda até que um seletor css seja encontrado,Wait until a css selector is found
IF_CSS_ACTION_DESCRIPTION,"True if the css selector can be found, false otherwise","Sandt, hvis css-vælgeren kan findes, ellers falsk","True if the css selector can be found, false otherwise","Wahr, wenn der CSS-Selektor gefunden werden kann, andernfalls falsch","True if the CSS selector can be found, false otherwise","True se o seletor css puder ser encontrado, false caso contrário","True if css selector can be found, false otherwise"
IF_ALLOW_ALL_ACTION_DESCRIPTION,"True, if the user has all consents allowed, false otherwise","Sandt, hvis brugeren har alle samtykker tilladt, falsk ellers","True if the user has all consents allowed, false otherwise","Wahr, wenn dem Benutzer alle Einwilligungen erlaubt sind, andernfalls falsch","True if the user is allowed all consents, false otherwise","Verdadeiro, se o usuário tiver todos os consentimentos permitidos, falso caso contrário","True if user has all allowed consents, false otherwise"
IF_ALLOW_NONE_ACTION_DESCRIPTION,"True, if the user has all consents rejected, false otherwise","Sandt, hvis brugeren har alle samtykker afvist, falsk ellers","True if the user has all consents declined, false otherwise","Wahr, wenn dem Benutzer alle Einwilligungen abgelehnt hat, andernfalls false","True if the user has denied all consents, false otherwise","Verdadeiro, se o usuário tiver todos os consentimentos rejeitados, falso caso contrário","True if user has all consents rejected, false otherwise"
FOR_EACH_ACTION_DESCRIPTION,Runs an action for each selected element,Kører en handling for hvert valgte element,Runs an action for each selected item,Führt eine Aktion für jedes ausgewählte Element aus,Performs an action on each selected item,Executa uma ação para cada elemento selecionado,Performs an action for each selected element
SLIDE_ACTION_DESCRIPTION,Simulates interacting with a slider,Simulerer interaktion med en slider,Simulates interaction with a slider,Simuliert die Interaktion mit einem Schieberegler,Simulates interaction with a slider,Simula a interação com um controle deslizante,Simulates interaction with a slider
CLOSE_ACTION_DESCRIPTION,Closes the current window/tab,Lukker det aktuelle vindue/faneblad,Closes the current window/tab,Schließt das aktuelle Fenster/Tab,Closes the current window/tab,Fecha a janela/guia atual,Close current window/tab
HIDE_ACTION_DESCRIPTION,Hides the element found with the given css selector.,Skjuler elementet fundet med den givne css-vælger.,Hides the element found with the given css selector.,"Blendet das Element aus, das mit dem angegebenen CSS-Selektor gefunden wurde.",Hides the element found with the specified CSS selector.,Oculta o elemento encontrado com o seletor css fornecido.,Hides the element found with the given css selector.
WAIT_ACTION_DESCRIPTION,Waits a given amount of time before continuing,"Venter et givet stykke tid, før der fortsættes",Waits a certain amount of time before continuing,"Wartet eine bestimmte Zeit, bevor fortgefahren wird",Waits a specified amount of time before continuing,Aguarda um determinado período de tempo antes de continuar,Wait a certain amount of time before continuing
CONSENT_DESCRIPTION,"Used to handle consent, inside a ConsentAction",Bruges til at håndtere samtykke inde i en ConsentHandling,Used to handle consent inside a ConsentHandling,"Wird verwendet, um die Zustimmung innerhalb einer ConsentAction zu verarbeiten",Used to process consent within a ConsentAction,"Usado para lidar com o consentimento, dentro de um ConsentAction","Used to handle consent, inside a ConsentAction"
DOM_SELECTOR_DESCRIPTION,"A css selector, with filters",En css-vælger med filtre,A css selector with filters,Ein CSS-Selektor mit Filtern,A CSS selector with filters,"Um seletor css, com filtros","A css selector, with filters"
HIDE_FROM_DETECTION,Hide from detection,Skul fra at blive opdaget,Avoid being discovered,Vor Entdeckung verstecken,Hide from discovery,Ocultar da detecção,hide from detection
HIDE_FROM_DETECTION_HELP,"Make sure this element and its children, is never detected by ConsentOMatic","Sørg for, at dette element og dets børn aldrig bliver opdaget af ConsentOMatic",Ensure that this element and its children are never detected by ConsentOMatic,"Stellen Sie sicher, dass dieses Element und seine untergeordneten Elemente niemals von ConsentOMatic erkannt werden",Ensure that this element and its children are never recognized by ConsentOMatic,Certifique-se de que este elemento e seus filhos nunca sejam detectados pelo ConsentOMatic,Make sure this element and its children are never detected by ConsentOMatic
FORCE_HIDE,Force hide,Tving skjul,Force hide,Ausblenden erzwingen,Force Hide,Forçar ocultação,force hide
FORCE_HIDE_HELP,"Force hiding this element, instead of using picture in picture",Tving at dette element bliver skjult i stedet for at bruge billede i billede,Force this element to be hidden instead of using picture in picture,"Erzwingen Sie das Ausblenden dieses Elements, anstatt Bild in Bild zu verwenden",Force hide this element instead of using picture in picture,"Forçar a ocultação deste elemento, em vez de usar imagem em imagem",Force hide this element instead of using picture in picture
NEGATED_CHECKBOX_HELP,"If checked, the checkbox count as checked when not checked, and vice versa","Hvis markeret, tæller afkrydsningsfeltet som markeret, når det ikke er markeret, og omvendt","If checked, the checkbox counts as checked when unchecked, and vice versa","Wenn es aktiviert ist, zählt das Kontrollkästchen als aktiviert, wenn es nicht aktiviert ist, und umgekehrt","If checked, the checkbox counts as checked, if not checked, and vice versa","Se marcada, a caixa de seleção conta como marcada quando não marcada e vice-versa","If checked, the checkbox counts as checked when unchecked and vice versa"
RUN_ROOTED_ACTION,RunRootedAction,,,,,,
RUN_ROOTED_ACTION_DESCRIPTION,"Run an action rooted at the selected dom element. Ignores any current root set, and sets old root afterwards.",,,,,,
RUN_METHOD_ACTION,RunMethodAction,,,,,,
RUN_METHOD_ACTION_DESCRIPTION,Runs a custom method.,,,,,,
ADD_METHOD,Add method,,,,,,
ADD_METHOD_PROMPT,Name of new method:,,,,,,
IGNORE_OLD_ROOT,Ignore old root,,,,,,
IGNORE_OLD_ROOT_HELP,"Ignores any root set, and restarts from document",,,,,,
METHOD,Method,,,,,,
METHOD_HELP,The method to run,,,,,,
NEGATED_URL_HELP,"When enabled, this matcher matches, if none of the URL's match",,,,,,
